dbh	SpCode	Sex	Flowers	CII
263	otobgl	0	0	3
129	otobgl	0	0	2
161	otobgl	0	0	2
138	otobgl	0	0	1
102	otobgl	0	0	1
132	otobgl	0	0	2
103	otobgl	0	0	1
147	otobgl	0	0	4
158	otobgl	0	0	4
375	otobgl	0	0	3
191	otobgl	0	0	3
157	otobgl	0	0	2
147	otobgl	0	0	3
104	otobgl	0	0	3
129	otobgl	0	0	2
123	otobgl	0	0	1
124	otobgl	0	0	4
225	otobgl	0	0	2
107	otobgl	0	0	1
100	otobgl	0	0	1
200	otobgl	0	0	2
339	otobgl	0	0	3
140	otobgl	0	0	1
115	otobgl	0	0	2
188	otobgl	0	0	3
246	otobgl	0	0	3
110	otobgl	0	0	1
240	otobgl	0	0	2
131	otobgl	0	0	NA
156	otobgl	0	0	1
229	otobgl	0	0	2
221	otobgl	0	0	4
182	otobgl	0	0	3
108	otobgl	0	0	4
174	otobgl	0	0	2
172	otobgl	0	0	2
305	otobgl	0	0	2.5
117	otobgl	0	0	3
137	otobgl	0	0	1
288	otobgl	0	0	2
235	otobgl	0	0	1
116	otobgl	0	0	1
468	otobgl	0	0	4
120	otobgl	0	0	2
147	otobgl	0	0	2
322	otobgl	0	0	4
132	otobgl	0	0	3
136	otobgl	0	0	2
219	otobgl	0	0	3
318	otobgl	0	0	2
169	otobgl	0	0	2
267	otobgl	0	0	3
216	otobgl	0	0	2
335	otobgl	0	0	2
249	otobgl	0	0	4
263	otobgl	0	0	4
282	otobgl	0	0	3
388	otobgl	0	0	4
125	otobgl	0	0	3
115	otobgl	0	0	1
159	otobgl	0	0	1.5
288	otobgl	0	0	3
249	otobgl	0	0	3
120	otobgl	0	0	1
126	otobgl	0	0	1
154	otobgl	0	0	2.5
160	otobgl	0	0	2
138	otobgl	0	0	2
192	otobgl	0	0	1
290	otobgl	0	0	3
241	otobgl	0	0	2
143	otobgl	0	0	1
120	otobgl	0	0	2
207	otobgl	0	0	1
111	otobgl	0	0	1
105	otobgl	0	0	2
195	otobgl	0	0	3
132	otobgl	0	0	3
133	otobgl	0	0	1.5
377	otobgl	0	0	3
310	otobgl	0	0	4
114	otobgl	0	0	1
189	otobgl	0	0	1
147	otobgl	0	0	2.5
160	otobgl	0	0	2
102	otobgl	0	0	1
340	otobgl	0	0	2
210	otobgl	0	0	4
181	otobgl	0	0	3
160	otobgl	0	0	3
100	otobgl	0	0	1
182	otobgl	0	0	4
120	otobgl	0	0	4
305	otobgl	0	0	4
170	otobgl	0	0	4
288	otobgl	0	0	4
203	otobgl	0	0	3
120	otobgl	0	0	3
126	otobgl	0	0	2
240	otobgl	0	0	3
100	otobgl	0	0	1
210	otobgl	0	0	2
160	otobgl	0	0	3
221	otobgl	0	0	3
134	otobgl	0	0	1
302	otobgl	0	0	1
102	otobgl	0	0	2
160	otobgl	0	0	4
273	otobgl	0	0	3
133	otobgl	0	0	2
130	otobgl	0	0	4
150	otobgl	0	0	1
228	otobgl	0	0	2
155	otobgl	0	0	1
187	otobgl	0	0	2
140	otobgl	0	0	4
258	otobgl	0	0	3
158	otobgl	0	0	2
282	otobgl	0	0	1
183	otobgl	0	0	2
303	otobgl	0	0	NA
170	otobgl	0	0	1
230	otobgl	0	0	1
408	otobgl	0	0	2
283	otobgl	0	0	3
101	otobgl	0	0	1
172	otobgl	0	0	2
229	otobgl	0	0	3
238	otobgl	0	0	2
128	otobgl	0	0	1
313	otobgl	0	0	4
135	otobgl	0	0	1
109	otobgl	0	0	2
162	otobgl	0	0	4
216	otobgl	0	0	2
174	otobgl	0	0	1
290	otobgl	0	0	1
221	otobgl	0	0	3
168	otobgl	0	0	2
292	otobgl	0	0	3
145	otobgl	0	0	2
145	otobgl	0	0	4
244	otobgl	0	0	1
120	otobgl	0	0	2
149	otobgl	0	0	2
188	otobgl	0	0	3
269	virodu	0	NA	NA
439	virodu	0	NA	NA
191	Viroob	0	NA	NA
321	Viroob	0	0	3
142	Viroob	0	NA	NA
110	Viroob	0	0	NA
139	Viroob	0	NA	NA
120	Viroob	0	NA	NA
171	Viroob	0	NA	NA
396	viropa	0	0	NA
218	iryaal	F	1	4
225	iryaal	F	0	NA
339	otobgl	F	1	5
490	otobgl	F	1	4
485	otobgl	F	1	NA
574	otobgl	F	1	5
319	otobgl	F	1	4
349	otobgl	F	1	3
313	otobgl	F	1	5
334	otobgl	F	1	4
403	otobgl	F	1	5
295	otobgl	F	1	4
426	otobgl	F	0	3
356	otobgl	F	0	4
554	otobgl	F	1	4
586	otobgl	F	1	3
440	otobgl	F	1	5
330	otobgl	F	1	3
303	otobgl	F	1	5
354	otobgl	F	1	NA
360	otobgl	F	1	5
442	otobgl	F	0	NA
211	otobgl	F	1	4
249	otobgl	F	1	3
346	otobgl	F	0	4
490	otobgl	F	1	5
705	otobgl	F	1	5
347	otobgl	F	1	5
407	otobgl	F	0	3
407	otobgl	F	1	4
301	otobgl	F	1	5
497	otobgl	F	1	4
468	otobgl	F	1	5
301	otobgl	F	1	4
596	otobgl	F	1	4
342	otobgl	F	0	NA
395	otobgl	F	1	4
399	otobgl	F	1	5
244	otobgl	F	1	4
498	otobgl	F	1	4
373	otobgl	F	1	4
640	otobgl	F	1	5
425	otobgl	F	1	3
321	otobgl	F	1	5
478	otobgl	F	1	4
455	otobgl	F	1	3
279	otobgl	F	1	4
280	otobgl	F	0	3
334	otobgl	F	1	3
290	otobgl	F	1	4
500	otobgl	F	1	4
313	otobgl	F	1	4
371	otobgl	F	1	5
547	otobgl	F	1	5
513	otobgl	F	1	3
615	otobgl	F	1	5
437	otobgl	F	0	4
530	otobgl	F	1	4
363	otobgl	F	1	4
480	otobgl	F	1	4
442	otobgl	F	1	4
398	otobgl	F	1	5
675	otobgl	F	1	5
280	otobgl	F	0	3
284	otobgl	F	1	4
370	otobgl	F	1	4
540	otobgl	F	1	5
449	otobgl	F	1	5
433	otobgl	F	0	3
511	otobgl	F	1	5
538	otobgl	F	1	5
390	otobgl	F	0	NA
518	otobgl	F	1	5
537	otobgl	F	1	5
410	otobgl	F	1	5
482	otobgl	F	1	4
375	otobgl	F	1	3
230	otobgl	F	0	3
417	otobgl	F	1	4
370	otobgl	F	1	4
190	otobgl	F	0	3
277	otobgl	F	1	2
450	otobgl	F	0	5
414	otobgl	F	1	4
295	otobgl	F	0	5
310	otobgl	F	0	NA
504	otobgl	F	1	3
532	virodu	F	NA	5
484	virodu	F	0	NA
485	virodu	F	1	NA
424	virodu	F	1	NA
336	virodu	F	0	NA
631	virodu	F	0	NA
558	virodu	F	1	5
477	virodu	F	1	5
554	virodu	F	1	4
318	virodu	F	1	3
601	virodu	F	1	5
480	virodu	F	1	4
542	virodu	F	1	5
783	virodu	F	1	5
935	virodu	F	1	5
745	virodu	F	1	5
673	virodu	F	1	4
739	virodu	F	0	5
617	virodu	F	1	5
577	virodu	F	0	5
354	virodu	F	1	4
212	Viroob	F	1	3
297	Viroob	F	0	4
283	Viroob	F	0	3
265	Viroob	F	0	3
330	Viroob	F	NA	NA
345	viropa	F	1	4
528	viropa	F	0	5
502	viropa	F	0	5
495	viropa	F	0	3
568	viropa	F	1	4
433	viropa	F	1	3
443	iryaal	M	1	3
272	iryaal	M	1	4
331	otobgl	M	1	5
409	otobgl	M	1	NA
465	otobgl	M	1	5
272	otobgl	M	1	4
410	otobgl	M	1	NA
211	otobgl	M	1	3
336	otobgl	M	1	NA
223	otobgl	M	1	4
198	otobgl	M	1	3
217	otobgl	M	1	4
395	otobgl	M	1	2
791	otobgl	M	1	4
435	otobgl	M	1	4
423	otobgl	M	1	4
486	otobgl	M	1	3
466	otobgl	M	1	4
240	otobgl	M	1	4
518	otobgl	M	1	5
311	otobgl	M	1	4
136	otobgl	M	1	3
192	otobgl	M	1	4
496	otobgl	M	1	3
560	otobgl	M	1	5
406	otobgl	M	1	5
363	otobgl	M	1	2
357	otobgl	M	1	5
410	otobgl	M	1	5
287	otobgl	M	1	4
360	otobgl	M	1	NA
423	otobgl	M	1	4
165	otobgl	M	1	4
357	otobgl	M	1	5
315	otobgl	M	1	3
258	otobgl	M	1	3
524	otobgl	M	1	5
435	otobgl	M	1	5
342	otobgl	M	1	2
601	otobgl	M	1	5
221	otobgl	M	1	2
342	otobgl	M	1	4
340	otobgl	M	1	4
402	otobgl	M	1	4
431	otobgl	M	1	4
275	otobgl	M	1	3
236	otobgl	M	1	3
246	otobgl	M	1	4
180	otobgl	M	1	2
234	otobgl	M	1	5
362	otobgl	M	1	4
538	otobgl	M	1	5
186	otobgl	M	1	4
711	otobgl	M	1	5
254	otobgl	M	1	3
252	otobgl	M	1	3
398	otobgl	M	1	5
345	otobgl	M	1	4
525	otobgl	M	1	5
346	otobgl	M	1	3
254	otobgl	M	1	3
291	otobgl	M	1	3
662	otobgl	M	1	4
143	otobgl	M	1	5
162	otobgl	M	1	4
232	otobgl	M	1	2.5
340	otobgl	M	1	4
418	otobgl	M	1	3
233	otobgl	M	1	2
474	otobgl	M	1	5
183	otobgl	M	1	3
533	otobgl	M	1	5
305	otobgl	M	1	4
379	otobgl	M	1	4
364	otobgl	M	1	5
265	otobgl	M	1	3
395	otobgl	M	1	2
260	otobgl	M	1	5
465	otobgl	M	1	5
267	otobgl	M	1	3
279	otobgl	M	1	4
334	otobgl	M	1	2
332	otobgl	M	1	4
480	otobgl	M	1	2
210	otobgl	M	1	3
340	otobgl	M	1	4
240	otobgl	M	1	4
249	otobgl	M	1	4
272	otobgl	M	1	4
308	otobgl	M	1	3
278	otobgl	M	1	4
161	otobgl	M	1	3
597	otobgl	M	1	5
485	otobgl	M	1	NA
365	otobgl	M	1	4
514	otobgl	M	1	5
461	otobgl	M	1	3
182	otobgl	M	0	1
354	otobgl	M	1	3
212	otobgl	M	1	3
327	otobgl	M	1	4
403	otobgl	M	1	4
203	otobgl	M	1	4
187	otobgl	M	1	4
320	otobgl	M	1	4
372	otobgl	M	1	3
322	otobgl	M	1	5
317	otobgl	M	1	3
365	otobgl	M	1	3
488	otobgl	M	1	3
248	otobgl	M	1	3
238	otobgl	M	1	3
220	otobgl	M	1	3
163	otobgl	M	0	3
152	otobgl	M	1	2
430	otobgl	M	1	4
677	otobgl	M	1	NA
317	otobgl	M	1	2
670	otobgl	M	1	5
270	otobgl	M	1	3
156	otobgl	M	1	1
337	otobgl	M	1	4
1405	otobgl	M	1	5
526	otobgl	M	1	4
310	otobgl	M	1	3
366	otobgl	M	1	4
295	otobgl	M	1	3
725	otobgl	M	1	4
450	otobgl	M	1	3
364	otobgl	M	1	2
544	otobgl	M	1	4
654	otobgl	M	1	5
723	virodu	M	1	5
342	virodu	M	1	3
278	virodu	M	1	4
310	virodu	M	1	4
325	virodu	M	1	NA
630	virodu	M	1	5
330	virodu	M	1	4
509	virodu	M	1	5
420	virodu	M	1	4
675	virodu	M	1	5
584	virodu	M	1	5
630	virodu	M	1	5
420	virodu	M	1	NA
555	virodu	M	1	5
473	virodu	M	1	5
180	Viroob	M	1	3
147	Viroob	M	1	2
185	Viroob	M	1	3
292	Viroob	M	1	4
364	Viroob	M	1	3
342	Viroob	M	1	NA
130	Viroob	M	1	1
322	viropa	M	1	3
517	viropa	M	NA	4
212	viropa	M	1	2
630	viropa	M	1	5
444	viropa	M	1	4
54	iryaal	NA	NA	NA
517	otobgl	NA	NA	5
198	otobgl	NA	0	3
107	otobgl	NA	NA	NA
195	virodu	NA	1	NA

